id,trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
108,TRD00108,8,8,ETF,SELL,208,66.5,2026-04-18,MATCHED
109,TRD00109,9,9,FX,BUY,209,67.0,2026-04-19,MATCHED
110,TRD00110,10,10,COMMODITY,SELL,210,67.5,2026-04-20,UNMATCHED
111,TRD00111,11,1,EQUITY,BUY,211,68.0,2026-04-21,MATCHED
112,TRD00112,12,2,BOND,SELL,212,68.5,2026-04-22,MATCHED
113,TRD00113,13,3,ETF,BUY,213,69.0,2026-04-23,MATCHED
114,TRD00114,14,4,FX,SELL,214,69.5,2026-04-24,MATCHED
115,TRD00115,15,5,COMMODITY,BUY,215,70.0,2026-04-25,UNMATCHED
116,TRD00116,16,6,EQUITY,SELL,216,70.5,2026-04-26,MATCHED
117,TRD00117,17,7,BOND,BUY,217,71.0,2026-04-27,MATCHED
118,TRD00118,18,8,ETF,SELL,218,71.5,2026-04-28,MATCHED
119,TRD00119,19,9,FX,BUY,219,72.0,2026-04-29,MATCHED
120,TRD00120,20,10,COMMODITY,SELL,220,72.5,2026-04-30,UNMATCHED
121,TRD00121,21,1,EQUITY,BUY,221,73.0,2026-04-01,MATCHED
122,TRD00122,22,2,BOND,SELL,222,73.5,2026-04-02,MATCHED
123,TRD00123,23,3,ETF,BUY,223,74.0,2026-04-03,MATCHED
124,TRD00124,24,4,FX,SELL,224,74.5,2026-04-04,MATCHED
125,TRD00125,25,5,COMMODITY,BUY,225,75.0,2026-04-05,UNMATCHED
126,TRD00126,1,1,EQUITY,SELL,226,75.5,2026-05-01,MATCHED
127,TRD00127,2,2,BOND,BUY,227,76.0,2026-05-02,MATCHED
128,TRD00128,3,3,ETF,SELL,228,76.5,2026-05-03,MATCHED
129,TRD00129,4,4,FX,BUY,229,77.0,2026-05-04,MATCHED
130,TRD00130,5,5,COMMODITY,SELL,230,77.5,2026-05-05,UNMATCHED
131,TRD00131,6,6,EQUITY,BUY,231,78.0,2026-05-06,MATCHED
132,TRD00132,7,7,BOND,SELL,232,78.5,2026-05-07,MATCHED
133,TRD00133,8,8,ETF,BUY,233,79.0,2026-05-08,MATCHED
134,TRD00134,9,9,FX,SELL,234,79.5,2026-05-09,MATCHED
135,TRD00135,10,10,COMMODITY,BUY,235,80.0,2026-05-10,UNMATCHED
136,TRD00136,11,1,EQUITY,SELL,236,80.5,2026-05-11,MATCHED
137,TRD00137,12,2,BOND,BUY,237,81.0,2026-05-12,MATCHED
138,TRD00138,13,3,ETF,SELL,238,81.5,2026-05-13,MATCHED
139,TRD00139,14,4,FX,BUY,239,82.0,2026-05-14,MATCHED
140,TRD00140,15,5,COMMODITY,SELL,240,82.5,2026-05-15,UNMATCHED
141,TRD00141,16,6,EQUITY,BUY,241,83.0,2026-05-16,MATCHED
142,TRD00142,17,7,BOND,SELL,242,83.5,2026-05-17,MATCHED
143,TRD00143,18,8,ETF,BUY,243,84.0,2026-05-18,MATCHED
144,TRD00144,19,9,FX,SELL,244,84.5,2026-05-19,MATCHED
145,TRD00145,20,10,COMMODITY,BUY,245,85.0,2026-05-20,UNMATCHED
146,TRD00146,21,1,EQUITY,SELL,246,85.5,2026-05-21,MATCHED
147,TRD00147,22,2,BOND,BUY,247,86.0,2026-05-22,MATCHED
148,TRD00148,23,3,ETF,SELL,248,86.5,2026-05-23,MATCHED
149,TRD00149,24,4,FX,BUY,249,87.0,2026-05-24,MATCHED
150,TRD00150,25,5,COMMODITY,SELL,250,50.0,2026-05-25,UNMATCHED
151,TRD00151,26,6,EQUITY,BUY,251,50.5,2026-05-26,MATCHED
152,TRD00152,27,7,BOND,SELL,252,51.0,2026-05-27,MATCHED
153,TRD00153,28,8,ETF,BUY,253,51.5,2026-05-28,MATCHED
154,TRD00154,29,9,FX,SELL,254,52.0,2026-05-29,MATCHED
155,TRD00155,30,10,COMMODITY,BUY,255,52.5,2026-05-30,UNMATCHED
156,TRD00156,31,1,EQUITY,SELL,256,53.0,2026-05-31,MATCHED
157,TRD00157,32,2,BOND,BUY,257,53.5,2026-05-01,MATCHED
158,TRD00158,33,3,ETF,SELL,258,54.0,2026-05-02,MATCHED
159,TRD00159,34,4,FX,BUY,259,54.5,2026-05-03,MATCHED
160,TRD00160,35,5,COMMODITY,SELL,260,55.0,2026-05-04,UNMATCHED
161,TRD00161,36,6,EQUITY,BUY,261,55.5,2026-05-05,MATCHED
162,TRD00162,37,7,BOND,SELL,262,56.0,2026-05-06,MATCHED
163,TRD00163,38,8,ETF,BUY,263,56.5,2026-05-07,MATCHED
164,TRD00164,39,9,FX,SELL,264,57.0,2026-05-08,MATCHED
165,TRD00165,40,10,COMMODITY,BUY,265,57.5,2026-05-09,UNMATCHED
166,TRD00166,41,1,EQUITY,SELL,266,58.0,2026-05-10,MATCHED
167,TRD00167,42,2,BOND,BUY,267,58.5,2026-05-11,MATCHED
168,TRD00168,43,3,ETF,SELL,268,59.0,2026-05-12,MATCHED
169,TRD00169,44,4,FX,BUY,269,59.5,2026-05-13,MATCHED
170,TRD00170,45,5,COMMODITY,SELL,270,60.0,2026-05-14,UNMATCHED
171,TRD00171,46,6,EQUITY,BUY,271,60.5,2026-05-15,MATCHED
172,TRD00172,47,7,BOND,SELL,272,61.0,2026-05-16,MATCHED
173,TRD00173,48,8,ETF,BUY,273,61.5,2026-05-17,MATCHED
174,TRD00174,49,9,FX,SELL,274,62.0,2026-05-18,MATCHED
175,TRD00175,50,10,COMMODITY,BUY,275,62.5,2026-05-19,UNMATCHED
176,TRD00176,1,1,EQUITY,SELL,276,63.0,2026-05-20,MATCHED
177,TRD00177,2,2,BOND,BUY,277,63.5,2026-05-21,MATCHED
178,TRD00178,3,3,ETF,SELL,278,64.0,2026-05-22,MATCHED
179,TRD00179,4,4,FX,BUY,279,64.5,2026-05-23,MATCHED
180,TRD00180,5,5,COMMODITY,SELL,280,65.0,2026-05-24,UNMATCHED
181,TRD00181,6,6,EQUITY,BUY,281,65.5,2026-05-25,MATCHED
182,TRD00182,7,7,BOND,SELL,282,66.0,2026-05-26,MATCHED
183,TRD00183,8,8,ETF,BUY,283,66.5,2026-05-27,MATCHED
184,TRD00184,9,9,FX,SELL,284,67.0,2026-05-28,MATCHED
185,TRD00185,10,10,COMMODITY,BUY,285,67.5,2026-05-29,UNMATCHED
186,TRD00186,11,1,EQUITY,SELL,286,68.0,2026-05-30,MATCHED
187,TRD00187,12,2,BOND,BUY,287,68.5,2026-05-31,MATCHED
188,TRD00188,13,3,ETF,SELL,288,69.0,2026-05-01,MATCHED
189,TRD00189,14,4,FX,BUY,289,69.5,2026-05-02,MATCHED
190,TRD00190,15,5,COMMODITY,SELL,290,70.0,2026-05-03,UNMATCHED
191,TRD00191,16,6,EQUITY,BUY,291,70.5,2026-05-04,MATCHED
192,TRD00192,17,7,BOND,SELL,292,71.0,2026-05-05,MATCHED
193,TRD00193,18,8,ETF,BUY,293,71.5,2026-05-06,MATCHED
194,TRD00194,19,9,FX,SELL,294,72.0,2026-05-07,MATCHED
195,TRD00195,20,10,COMMODITY,BUY,295,72.5,2026-05-08,UNMATCHED
196,TRD00196,21,1,EQUITY,SELL,296,73.0,2026-05-09,MATCHED
197,TRD00197,22,2,BOND,BUY,297,73.5,2026-05-10,MATCHED
198,TRD00198,23,3,ETF,SELL,298,74.0,2026-05-11,MATCHED
199,TRD00199,24,4,FX,BUY,299,74.5,2026-05-12,MATCHED
200,TRD00200,25,5,COMMODITY,SELL,100,75.0,2026-05-13,UNMATCHED
201,TRD00201,26,6,EQUITY,BUY,101,75.5,2026-05-14,MATCHED
202,TRD00202,27,7,BOND,SELL,102,76.0,2026-05-15,MATCHED
203,TRD00203,28,8,ETF,BUY,103,76.5,2026-05-16,MATCHED
204,TRD00204,29,9,FX,SELL,104,77.0,2026-05-17,MATCHED
205,TRD00205,30,10,COMMODITY,BUY,105,77.5,2026-05-18,UNMATCHED
206,TRD00206,31,1,EQUITY,SELL,106,78.0,2026-05-19,MATCHED
207,TRD00207,32,2,BOND,BUY,107,78.5,2026-05-20,MATCHED
208,TRD00208,33,3,ETF,SELL,108,79.0,2026-05-21,MATCHED
209,TRD00209,34,4,FX,BUY,109,79.5,2026-05-22,MATCHED
210,TRD00210,35,5,COMMODITY,SELL,110,80.0,2026-05-23,UNMATCHED
211,TRD00211,36,6,EQUITY,BUY,111,80.5,2026-05-24,MATCHED
212,TRD00212,37,7,BOND,SELL,112,81.0,2026-05-25,MATCHED
213,TRD00213,38,8,ETF,BUY,113,81.5,2026-05-26,MATCHED
214,TRD00214,39,9,FX,SELL,114,82.0,2026-05-27,MATCHED
215,TRD00215,40,10,COMMODITY,BUY,115,82.5,2026-05-28,UNMATCHED
216,TRD00216,41,1,EQUITY,SELL,116,83.0,2026-05-29,MATCHED
217,TRD00217,42,2,BOND,BUY,117,83.5,2026-05-30,MATCHED
218,TRD00218,43,3,ETF,SELL,118,84.0,2026-05-31,MATCHED
219,TRD00219,44,4,FX,BUY,119,84.5,2026-05-01,MATCHED
220,TRD00220,45,5,COMMODITY,SELL,120,85.0,2026-05-02,UNMATCHED
221,TRD00221,46,6,EQUITY,BUY,121,85.5,2026-05-03,MATCHED
222,TRD00222,47,7,BOND,SELL,122,86.0,2026-05-04,MATCHED
223,TRD00223,48,8,ETF,BUY,123,86.5,2026-05-05,MATCHED
224,TRD00224,49,9,FX,SELL,124,87.0,2026-05-06,MATCHED
225,TRD00225,50,10,COMMODITY,BUY,125,50.0,2026-05-07,UNMATCHED
226,TRD00226,1,1,EQUITY,SELL,126,50.5,2026-05-08,MATCHED
227,TRD00227,2,2,BOND,BUY,127,51.0,2026-05-09,MATCHED
228,TRD00228,3,3,ETF,SELL,128,51.5,2026-05-10,MATCHED
229,TRD00229,4,4,FX,BUY,129,52.0,2026-05-11,MATCHED
230,TRD00230,5,5,COMMODITY,SELL,130,52.5,2026-05-12,UNMATCHED
231,TRD00231,6,6,EQUITY,BUY,131,53.0,2026-05-13,MATCHED
232,TRD00232,7,7,BOND,SELL,132,53.5,2026-05-14,MATCHED
233,TRD00233,8,8,ETF,BUY,133,54.0,2026-05-15,MATCHED
234,TRD00234,9,9,FX,SELL,134,54.5,2026-05-16,MATCHED
235,TRD00235,10,10,COMMODITY,BUY,135,55.0,2026-05-17,UNMATCHED
236,TRD00236,11,1,EQUITY,SELL,136,55.5,2026-05-18,MATCHED
237,TRD00237,12,2,BOND,BUY,137,56.0,2026-05-19,MATCHED
238,TRD00238,13,3,ETF,SELL,138,56.5,2026-05-20,MATCHED
239,TRD00239,14,4,FX,BUY,139,57.0,2026-05-21,MATCHED
240,TRD00240,15,5,COMMODITY,SELL,140,57.5,2026-05-22,UNMATCHED
241,TRD00241,16,6,EQUITY,BUY,141,58.0,2026-05-23,MATCHED
242,TRD00242,17,7,BOND,SELL,142,58.5,2026-05-24,MATCHED
243,TRD00243,18,8,ETF,BUY,143,59.0,2026-05-25,MATCHED
244,TRD00244,19,9,FX,SELL,144,59.5,2026-05-26,MATCHED
245,TRD00245,20,10,COMMODITY,BUY,145,60.0,2026-05-27,UNMATCHED
246,TRD00246,21,1,EQUITY,SELL,146,60.5,2026-05-28,MATCHED
247,TRD00247,22,2,BOND,BUY,147,61.0,2026-05-29,MATCHED
248,TRD00248,23,3,ETF,SELL,148,61.5,2026-05-30,MATCHED
249,TRD00249,24,4,FX,BUY,149,62.0,2026-05-31,MATCHED
250,TRD00250,25,5,COMMODITY,SELL,150,62.5,2026-05-01,UNMATCHED
251,TRD00251,1,1,EQUITY,BUY,151,63.0,2026-06-01,MATCHED
252,TRD00252,2,2,BOND,SELL,152,63.5,2026-06-02,MATCHED
253,TRD00253,3,3,ETF,BUY,153,64.0,2026-06-03,MATCHED
254,TRD00254,4,4,FX,SELL,154,64.5,2026-06-04,MATCHED
255,TRD00255,5,5,COMMODITY,BUY,155,65.0,2026-06-05,UNMATCHED
256,TRD00256,6,6,EQUITY,SELL,156,65.5,2026-06-06,MATCHED
257,TRD00257,7,7,BOND,BUY,157,66.0,2026-06-07,MATCHED
258,TRD00258,8,8,ETF,SELL,158,66.5,2026-06-08,MATCHED
259,TRD00259,9,9,FX,BUY,159,67.0,2026-06-09,MATCHED
260,TRD00260,10,10,COMMODITY,SELL,160,67.5,2026-06-10,UNMATCHED
261,TRD00261,11,1,EQUITY,BUY,161,68.0,2026-06-11,MATCHED
262,TRD00262,12,2,BOND,SELL,162,68.5,2026-06-12,MATCHED
263,TRD00263,13,3,ETF,BUY,163,69.0,2026-06-13,MATCHED
264,TRD00264,14,4,FX,SELL,164,69.5,2026-06-14,MATCHED
265,TRD00265,15,5,COMMODITY,BUY,165,70.0,2026-06-15,UNMATCHED
266,TRD00266,16,6,EQUITY,SELL,166,70.5,2026-06-16,MATCHED
267,TRD00267,17,7,BOND,BUY,167,71.0,2026-06-17,MATCHED
268,TRD00268,18,8,ETF,SELL,168,71.5,2026-06-18,MATCHED
269,TRD00269,19,9,FX,BUY,169,72.0,2026-06-19,MATCHED
270,TRD00270,20,10,COMMODITY,SELL,170,72.5,2026-06-20,UNMATCHED
271,TRD00271,21,1,EQUITY,BUY,171,73.0,2026-06-21,MATCHED
272,TRD00272,22,2,BOND,SELL,172,73.5,2026-06-22,MATCHED
273,TRD00273,23,3,ETF,BUY,173,74.0,2026-06-23,MATCHED
274,TRD00274,24,4,FX,SELL,174,74.5,2026-06-24,MATCHED
275,TRD00275,25,5,COMMODITY,BUY,175,75.0,2026-06-25,UNMATCHED
276,TRD00276,26,6,EQUITY,SELL,176,75.5,2026-06-26,MATCHED
277,TRD00277,27,7,BOND,BUY,177,76.0,2026-06-27,MATCHED
278,TRD00278,28,8,ETF,SELL,178,76.5,2026-06-28,MATCHED
279,TRD00279,29,9,FX,BUY,179,77.0,2026-06-29,MATCHED
280,TRD00280,30,10,COMMODITY,SELL,180,77.5,2026-06-30,UNMATCHED
281,TRD00281,31,1,EQUITY,BUY,181,78.0,2026-06-01,MATCHED
282,TRD00282,32,2,BOND,SELL,182,78.5,2026-06-02,MATCHED
283,TRD00283,33,3,ETF,BUY,183,79.0,2026-06-03,MATCHED
284,TRD00284,34,4,FX,SELL,184,79.5,2026-06-04,MATCHED
285,TRD00285,35,5,COMMODITY,BUY,185,80.0,2026-06-05,UNMATCHED
286,TRD00286,36,6,EQUITY,SELL,186,80.5,2026-06-06,MATCHED
287,TRD00287,37,7,BOND,BUY,187,81.0,2026-06-07,MATCHED
288,TRD00288,38,8,ETF,SELL,188,81.5,2026-06-08,MATCHED
289,TRD00289,39,9,FX,BUY,189,82.0,2026-06-09,MATCHED
290,TRD00290,40,10,COMMODITY,SELL,190,82.5,2026-06-10,UNMATCHED
291,TRD00291,41,1,EQUITY,BUY,191,83.0,2026-06-11,MATCHED
292,TRD00292,42,2,BOND,SELL,192,83.5,2026-06-12,MATCHED
293,TRD00293,43,3,ETF,BUY,193,84.0,2026-06-13,MATCHED
294,TRD00294,44,4,FX,SELL,194,84.5,2026-06-14,MATCHED
295,TRD00295,45,5,COMMODITY,BUY,195,85.0,2026-06-15,UNMATCHED
296,TRD00296,46,6,EQUITY,SELL,196,85.5,2026-06-16,MATCHED
297,TRD00297,47,7,BOND,BUY,197,86.0,2026-06-17,MATCHED
298,TRD00298,48,8,ETF,SELL,198,86.5,2026-06-18,MATCHED
299,TRD00299,49,9,FX,BUY,199,87.0,2026-06-19,MATCHED
300,TRD00300,50,10,COMMODITY,SELL,200,50.0,2026-06-20,UNMATCHED
301,TRD00301,1,1,EQUITY,BUY,201,50.5,2026-06-21,MATCHED
302,TRD00302,2,2,BOND,SELL,202,51.0,2026-06-22,MATCHED
303,TRD00303,3,3,ETF,BUY,203,51.5,2026-06-23,MATCHED
304,TRD00304,4,4,FX,SELL,204,52.0,2026-06-24,MATCHED
305,TRD00305,5,5,COMMODITY,BUY,205,52.5,2026-06-25,UNMATCHED
306,TRD00306,6,6,EQUITY,SELL,206,53.0,2026-06-26,MATCHED
307,TRD00307,7,7,BOND,BUY,207,53.5,2026-06-27,MATCHED
308,TRD00308,8,8,ETF,SELL,208,54.0,2026-06-28,MATCHED
309,TRD00309,9,9,FX,BUY,209,54.5,2026-06-29,MATCHED
310,TRD00310,10,10,COMMODITY,SELL,210,55.0,2026-06-30,UNMATCHED
311,TRD00311,11,1,EQUITY,BUY,211,55.5,2026-06-01,MATCHED
312,TRD00312,12,2,BOND,SELL,212,56.0,2026-06-02,MATCHED
313,TRD00313,13,3,ETF,BUY,213,56.5,2026-06-03,MATCHED
314,TRD00314,14,4,FX,SELL,214,57.0,2026-06-04,MATCHED
315,TRD00315,15,5,COMMODITY,BUY,215,57.5,2026-06-05,UNMATCHED
316,TRD00316,16,6,EQUITY,SELL,216,58.0,2026-06-06,MATCHED
317,TRD00317,17,7,BOND,BUY,217,58.5,2026-06-07,MATCHED
318,TRD00318,18,8,ETF,SELL,218,59.0,2026-06-08,MATCHED
319,TRD00319,19,9,FX,BUY,219,59.5,2026-06-09,MATCHED
320,TRD00320,20,10,COMMODITY,SELL,220,60.0,2026-06-10,UNMATCHED
321,TRD00321,21,1,EQUITY,BUY,221,60.5,2026-06-11,MATCHED
322,TRD00322,22,2,BOND,SELL,222,61.0,2026-06-12,MATCHED
323,TRD00323,23,3,ETF,BUY,223,61.5,2026-06-13,MATCHED
324,TRD00324,24,4,FX,SELL,224,62.0,2026-06-14,MATCHED
325,TRD00325,25,5,COMMODITY,BUY,225,62.5,2026-06-15,UNMATCHED
326,TRD00326,26,6,EQUITY,SELL,226,63.0,2026-06-16,MATCHED
327,TRD00327,27,7,BOND,BUY,227,63.5,2026-06-17,MATCHED
328,TRD00328,28,8,ETF,SELL,228,64.0,2026-06-18,MATCHED
329,TRD00329,29,9,FX,BUY,229,64.5,2026-06-19,MATCHED
330,TRD00330,30,10,COMMODITY,SELL,230,65.0,2026-06-20,UNMATCHED
331,TRD00331,31,1,EQUITY,BUY,231,65.5,2026-06-21,MATCHED
332,TRD00332,32,2,BOND,SELL,232,66.0,2026-06-22,MATCHED
333,TRD00333,33,3,ETF,BUY,233,66.5,2026-06-23,MATCHED
334,TRD00334,34,4,FX,SELL,234,67.0,2026-06-24,MATCHED
335,TRD00335,35,5,COMMODITY,BUY,235,67.5,2026-06-25,UNMATCHED
336,TRD00336,36,6,EQUITY,SELL,236,68.0,2026-06-26,MATCHED
337,TRD00337,37,7,BOND,BUY,237,68.5,2026-06-27,MATCHED
338,TRD00338,38,8,ETF,SELL,238,69.0,2026-06-28,MATCHED
339,TRD00339,39,9,FX,BUY,239,69.5,2026-06-29,MATCHED
340,TRD00340,40,10,COMMODITY,SELL,240,70.0,2026-06-30,UNMATCHED
341,TRD00341,41,1,EQUITY,BUY,241,70.5,2026-06-01,MATCHED
342,TRD00342,42,2,BOND,SELL,242,71.0,2026-06-02,MATCHED
343,TRD00343,43,3,ETF,BUY,243,71.5,2026-06-03,MATCHED
344,TRD00344,44,4,FX,SELL,244,72.0,2026-06-04,MATCHED
345,TRD00345,45,5,COMMODITY,BUY,245,72.5,2026-06-05,UNMATCHED
346,TRD00346,46,6,EQUITY,SELL,246,73.0,2026-06-06,MATCHED
